trade_num,asset,direction,ob_zone,decision_time_ist,entry_time_ist,exit_time_ist,entry_price,sl_price,tp_price,sl_dist_pct,leverage,actual_sl_risk_pct,tp_ret_pct,outcome,realized_r,loss_mechanism,starting_capital_gross,gross_pnl_usd,ending_capital_gross,starting_capital_net,fees_usd,net_pnl_usd,ending_capital_net
94,XRPUSD,SHORT,"[0.60, 0.61]",2024-07-28 10:30 IST,2024-07-28 10:30 IST,2024-07-28 10:30 IST,0.6036,0.6094,0.6,0.9567,36.58,35.0,21.95,FILLED_TP,0.6271,N/A,598.9144,131.4617,730.3761,5.7561,0.1685,1.095,6.8511
95,BTCUSD,SHORT,"[69573.00, 70024.00]",2024-07-29 15:30 IST,2024-07-29 15:30 IST,2024-07-29 18:30 IST,69685.75,70024.0,69267.6355,0.4854,72.11,35.0,43.26,FILLED_SL,-1.0,DUAL_TOUCH_AMBIGUITY,730.3761,-255.6316,474.7445,6.8511,0.3952,-2.7931,4.058
96,SOLUSD,LONG,"[182.60, 184.25]",2024-07-30 02:30 IST,2024-07-30 02:30 IST,2024-07-30 02:30 IST,183.8345,182.603,184.9375,0.6699,52.25,35.0,31.35,FILLED_TP,0.8957,N/A,474.7445,148.8236,623.5681,4.058,0.1696,1.1025,5.1605
97,BTCUSD,LONG,"[65940.50, 66469.00]",2024-07-30 18:30 IST,2024-07-30 18:30 IST,2024-07-30 18:30 IST,66336.875,65940.5,66734.8963,0.5975,58.58,35.0,35.15,FILLED_TP,1.0042,N/A,623.5681,219.1553,842.7233,5.1605,0.2418,1.5719,6.7324
98,ETHUSD,LONG,"[3284.70, 3315.15]",2024-07-30 19:30 IST,2024-07-30 19:30 IST,2024-07-30 19:30 IST,3307.5375,3284.7,3327.3827,0.6905,50.69,35.0,30.41,FILLED_TP,0.869,N/A,842.7233,256.307,1099.0303,6.7324,0.273,1.7746,8.507
99,SOLUSD,SHORT,"[181.45, 184.84]",2024-07-31 06:30 IST,2024-07-31 11:30 IST,2024-07-31 17:30 IST,182.3015,184.844,181.2077,1.3947,25.1,35.0,15.06,FILLED_TP,0.4302,N/A,1099.0303,165.4849,1264.5152,8.507,0.1708,1.1101,9.6171
100,ETHUSD,SHORT,"[3328.15, 3366.70]",2024-07-31 18:30 IST,2024-07-31 18:30 IST,2024-07-31 18:30 IST,3337.7875,3366.7,3317.7608,0.8662,40.41,35.0,24.24,FILLED_TP,0.6927,N/A,1264.5152,306.5606,1571.0758,9.6171,0.3109,2.0206,11.6377
101,XRPUSD,LONG,"[0.62, 0.63]",2024-08-01 01:30 IST,2024-08-01 01:30 IST,2024-08-01 01:30 IST,0.6266,0.6193,0.6304,1.1729,29.84,35.0,17.9,FILLED_TP,0.5116,N/A,1571.0758,281.2899,1852.3657,11.6377,0.2778,1.8058,13.4436
102,BTCUSD,LONG,"[63760.00, 64368.00]",2024-08-01 06:30 IST,2024-08-01 06:30 IST,2024-08-01 06:30 IST,64216.0,63760.0,64601.296,0.7101,49.29,35.0,29.57,FILLED_TP,0.8449,N/A,1852.3657,547.803,2400.1688,13.4436,0.5301,3.4456,16.8892
103,XRPUSD,LONG,"[0.60, 0.61]",2024-08-01 18:30 IST,2024-08-01 18:30 IST,2024-08-01 18:30 IST,0.6079,0.6017,0.6116,1.024,34.18,35.0,20.51,FILLED_TP,0.586,N/A,2400.1688,492.2341,2892.4029,16.8892,0.4618,3.0019,19.891
104,XRPUSD,LONG,"[0.59, 0.60]",2024-08-01 19:30 IST,2024-08-01 19:30 IST,2024-08-01 19:30 IST,0.5948,0.5913,0.5984,0.5926,59.06,35.0,35.44,FILLED_TP,1.0125,N/A,2892.4029,1024.963,3917.3659,19.891,0.9398,6.1088,25.9999
105,XRPUSD,LONG,"[0.58, 0.59]",2024-08-01 20:30 IST,2024-08-01 20:30 IST,2024-08-01 20:30 IST,0.5878,0.5805,0.5913,1.2377,28.28,35.0,16.97,FILLED_TP,0.4848,N/A,3917.3659,664.6478,4582.0137,25.9999,0.5882,3.8231,29.823
106,BTCUSD,SHORT,"[64462.50, 64953.50]",2024-08-02 01:30 IST,2024-08-02 01:30 IST,2024-08-02 01:30 IST,64585.25,64953.5,64197.7385,0.5702,61.38,35.0,36.83,FILLED_TP,1.0523,N/A,4582.0137,1687.5874,6269.601,29.823,1.4645,9.5195,39.3425
107,XRPUSD,LONG,"[0.54, 0.56]",2024-08-03 20:30 IST,2024-08-03 21:30 IST,2024-08-03 21:30 IST,0.5546,0.5435,0.5579,2.0014,17.49,35.0,10.49,FILLED_TP,0.2998,N/A,6269.601,657.8337,6927.4347,39.3425,0.5504,3.5776,42.9201
108,SOLUSD,SHORT,"[141.27, 143.81]",2024-08-06 10:30 IST,2024-08-06 10:30 IST,2024-08-06 10:30 IST,141.907,143.809,141.0556,1.3403,26.11,35.0,15.67,FILLED_TP,0.4477,N/A,6927.4347,1085.3881,8012.8227,42.9201,0.8966,5.8281,48.7482
109,BTCUSD,LONG,"[56480.50, 57273.50]",2024-08-07 16:30 IST,2024-08-07 16:30 IST,2024-08-07 18:30 IST,57075.25,56480.5,57417.7015,1.042,33.59,35.0,20.15,FILLED_TP,0.5758,N/A,8012.8227,1614.798,9627.6207,48.7482,1.3099,8.5142,57.2624
110,BTCUSD,LONG,"[55553.00, 56365.00]",2024-08-07 19:30 IST,2024-08-07 19:30 IST,2024-08-07 19:30 IST,56162.0,55553.0,56498.972,1.0844,32.28,35.0,19.37,FILLED_TP,0.5533,N/A,9627.6207,1864.505,11492.1257,57.2624,1.4786,9.6109,66.8733
111,ETHUSD,LONG,"[2364.10, 2412.45]",2024-08-07 19:30 IST,2024-08-07 19:30 IST,2024-08-07 19:30 IST,2400.3625,2364.1,2414.7647,1.5107,23.17,35.0,13.9,FILLED_TP,0.3972,N/A,11492.1257,1597.4922,13089.6179,66.8733,1.2395,8.0564,74.9298
112,BTCUSD,LONG,"[54399.50, 55409.50]",2024-08-07 23:30 IST,2024-08-07 23:30 IST,2024-08-07 23:30 IST,55157.0,54399.5,55487.942,1.3734,25.49,35.0,15.29,FILLED_TP,0.4369,N/A,13089.6179,2001.54,15091.1579,74.9298,1.5277,9.9299,84.8596
113,XRPUSD,SHORT,"[0.53, 0.54]",2024-08-08 00:30 IST,2024-08-08 00:30 IST,2024-08-08 00:30 IST,0.5323,0.54,0.5291,1.4513,24.12,35.0,14.47,FILLED_TP,0.4134,N/A,15091.1579,2183.6319,17274.7898,84.8596,1.6372,10.6417,95.5013
114,XRPUSD,LONG,"[0.60, 0.62]",2024-08-09 01:30 IST,2024-08-09 01:30 IST,2024-08-09 01:30 IST,0.6126,0.6001,0.6163,2.0445,17.12,35.0,10.27,FILLED_TP,0.2935,N/A,17274.7898,1774.3899,19049.1797,95.5013,1.3079,8.5015,104.0028
115,SOLUSD,LONG,"[155.13, 157.20]",2024-08-09 09:30 IST,2024-08-09 09:30 IST,2024-08-09 09:30 IST,156.6827,155.131,157.6228,0.9904,35.34,35.0,21.2,FILLED_TP,0.6058,N/A,19049.1797,4039.1967,23088.3764,104.0028,2.9404,19.1124,123.1153
116,SOLUSD,LONG,"[151.60, 154.35]",2024-08-09 19:30 IST,2024-08-09 19:30 IST,2024-08-09 19:30 IST,153.6595,151.597,154.5815,1.3423,26.08,35.0,15.65,FILLED_TP,0.447,N/A,23088.3764,3612.2529,26700.6293,123.1153,2.5682,16.6936,139.8088
117,XRPUSD,LONG,"[0.58, 0.59]",2024-08-10 23:30 IST,2024-08-10 23:30 IST,2024-08-10 23:30 IST,0.5912,0.5824,0.5947,1.4843,23.58,35.0,14.15,FILLED_TP,0.4042,N/A,26700.6293,3777.5457,30478.175,139.8088,2.6373,17.1425,156.9514
118,SOLUSD,LONG,"[153.58, 155.26]",2024-08-11 09:30 IST,2024-08-11 10:30 IST,2024-08-11 13:30 IST,154.843,153.577,155.7721,0.8176,42.81,35.0,25.68,FILLED_TP,0.7339,N/A,30478.175,7828.2759,38306.4509,156.9514,5.375,34.9377,191.8891
119,ETHUSD,SHORT,"[2659.25, 2707.45]",2024-08-11 13:30 IST,2024-08-11 13:30 IST,2024-08-11 14:30 IST,2671.3,2707.45,2655.2722,1.3533,25.86,35.0,15.52,FILLED_SL,-1.0,CONSOLIDATION_REVERSAL,38306.4509,-13407.2578,24899.1931,191.8891,3.9703,-71.1315,120.7576
120,BTCUSD,LONG,"[60722.00, 61199.00]",2024-08-11 14:30 IST,2024-08-11 14:30 IST,2024-08-11 14:30 IST,61079.75,60722.0,61446.2285,0.5857,59.76,35.0,35.85,FILLED_TP,1.0244,N/A,24899.1931,8927.3421,33826.5351,120.7576,5.7728,37.5235,158.2811
121,ETHUSD,LONG,"[2628.10, 2675.90]",2024-08-13 08:30 IST,2024-08-13 08:30 IST,2024-08-13 08:30 IST,2663.95,2628.1,2679.9337,1.3457,26.01,35.0,15.6,FILLED_TP,0.4458,N/A,33826.5351,5278.5388,39105.0739,158.2811,3.2932,21.4061,179.6872
122,XRPUSD,LONG,"[0.57, 0.58]",2024-08-14 00:30 IST,2024-08-14 01:30 IST,2024-08-14 02:30 IST,0.5757,0.5654,0.5792,1.7977,19.47,35.0,11.68,FILLED_TP,0.3338,N/A,39105.0739,4568.2094,43673.2833,179.6872,2.7988,18.1921,197.8793
123,BTCUSD,SHORT,"[61001.50, 61829.50]",2024-08-14 02:30 IST,2024-08-14 08:30 IST,2024-08-14 08:30 IST,61208.5,61829.5,60841.249,1.0146,34.5,35.0,20.7,FILLED_TP,0.5914,N/A,43673.2833,9039.7262,52713.0095,197.8793,5.4611,35.497,233.3763
124,SOLUSD,LONG,"[142.99, 145.74]",2024-08-14 06:30 IST,2024-08-14 06:30 IST,2024-08-14 06:30 IST,145.0505,142.988,145.9208,1.4219,24.61,35.0,14.77,FILLED_TP,0.422,N/A,52713.0095,7785.0674,60498.0769,233.3763,4.5956,29.8712,263.2475
125,SOLUSD,SHORT,"[145.95, 147.87]",2024-08-14 14:30 IST,2024-08-14 14:30 IST,2024-08-14 15:30 IST,146.4297,147.869,145.5512,0.9829,35.61,35.0,21.37,FILLED_SL,-1.0,CONSOLIDATION_REVERSAL,60498.0769,-21174.3269,39323.75,263.2475,7.4992,-99.6358,163.6117
126,XRPUSD,LONG,"[0.56, 0.57]",2024-08-15 10:30 IST,2024-08-15 10:30 IST,2024-08-15 10:30 IST,0.5658,0.5625,0.5692,0.5832,60.01,35.0,36.01,FILLED_TP,1.0287,N/A,39323.75,14158.6949,53482.4449,163.6117,7.8546,51.0546,214.6663
127,XRPUSD,SHORT,"[0.57, 0.57]",2024-08-15 16:30 IST,2024-08-15 16:30 IST,2024-08-15 22:30 IST,0.5693,0.5745,0.5658,0.9223,37.95,35.0,22.77,FILLED_TP,0.6506,N/A,53482.4449,12177.9527,65660.3976,214.6663,6.5173,42.3622,257.0285
128,ETHUSD,SHORT,"[2662.80, 2680.20]",2024-08-15 20:30 IST,2024-08-15 20:30 IST,2024-08-15 20:30 IST,2667.15,2680.2,2651.1471,0.4893,71.53,35.0,42.92,FILLED_TP,1.2263,N/A,65660.3976,28181.2163,93841.6139,257.0285,14.7088,95.607,352.6355
129,SOLUSD,LONG,"[136.21, 140.60]",2024-08-15 23:30 IST,2024-08-15 23:30 IST,2024-08-15 23:30 IST,139.503,136.212,140.34,2.3591,14.84,35.0,8.9,FILLED_TP,0.2543,N/A,93841.6139,8353.5375,102195.1514,352.6355,4.1854,27.2053,379.8408
130,ETHUSD,LONG,"[2508.60, 2578.05]",2024-08-16 04:30 IST,2024-08-16 06:30 IST,2024-08-16 06:30 IST,2560.6875,2508.6,2576.0516,2.0341,17.21,35.0,10.32,FILLED_TP,0.295,N/A,102195.1514,10550.4906,112745.642,379.8408,5.2286,33.9857,413.8265
131,XRPUSD,SHORT,"[0.57, 0.57]",2024-08-16 11:30 IST,2024-08-16 13:30 IST,2024-08-16 16:30 IST,0.5699,0.5734,0.5665,0.6053,57.82,35.0,34.69,FILLED_TP,0.9912,N/A,112745.642,39114.4044,151860.0464,413.8265,19.1423,124.4249,538.2514
132,BTCUSD,SHORT,"[59418.00, 59844.50]",2024-08-17 22:30 IST,2024-08-17 22:30 IST,2024-08-18 02:30 IST,59524.625,59844.5,59167.4772,0.5374,65.13,35.0,39.08,FILLED_TP,1.1165,N/A,151860.0464,59344.3247,211204.3711,538.2514,28.0453,182.2942,720.5456
133,SOLUSD,LONG,"[140.19, 141.72]",2024-08-18 06:30 IST,2024-08-18 06:30 IST,2024-08-18 06:30 IST,141.3367,140.187,142.1848,0.8135,43.02,35.0,25.81,FILLED_TP,0.7376,N/A,211204.3711,54522.2637,265726.6348,720.5456,24.8011,161.2072,881.7528
134,BTCUSD,LONG,"[59146.00, 59431.00]",2024-08-18 08:30 IST,2024-08-18 08:30 IST,2024-08-18 08:30 IST,59359.75,59146.0,59715.9085,0.3601,97.2,35.0,58.32,FILLED_TP,1.6662,N/A,265726.6348,154967.3913,420694.0261,881.7528,68.5632,445.6605,1327.4133
135,ETHUSD,LONG,"[2599.75, 2616.50]",2024-08-18 08:30 IST,2024-08-18 08:30 IST,2024-08-18 08:30 IST,2612.3125,2599.75,2627.9864,0.4809,72.78,35.0,43.67,FILLED_TP,1.2477,N/A,420694.0261,183710.8022,604404.8283,1327.4133,77.2882,502.3734,1829.7867
136,SOLUSD,LONG,"[144.38, 145.64]",2024-08-19 02:30 IST,2024-08-19 02:30 IST,2024-08-19 02:30 IST,145.3227,144.38,146.1947,0.6487,53.95,35.0,32.37,FILLED_TP,0.9249,N/A,604404.8283,195651.9975,800056.8258,1829.7867,78.9761,513.3445,2343.1312
137,SOLUSD,LONG,"[140.65, 141.66]",2024-08-19 14:30 IST,2024-08-19 14:30 IST,2024-08-19 14:30 IST,141.4052,140.647,142.2537,0.5362,65.27,35.0,39.16,FILLED_TP,1.1189,N/A,800056.8258,313323.6986,1113380.5244,2343.1312,122.3511,795.2819,3138.4132
