ob_id,asset,timeframe,direction,formation_bar_index,formation_timestamp,break_bar_index,break_type,structure_type,qe_top_price,qe_bottom_price,qe_width,qe_width_pct,qe_extreme_candle_idx,lux_top_price,lux_bottom_price,lux_width,lux_width_pct,lux_extreme_candle_idx,extreme_candle_matched,top_price_matched,bottom_price_matched,width_matched,mismatch_category
ETHUSD_489_BEARISH_482_487,ETHUSD,1h,SHORT,482,2024-06-21T02:00:00+00:00,487,BOS,internal,3537.0,3507.95,29.05,0.8281,482,3537.0,3507.95,29.05,0.8281,482,True,True,True,True,NO_MISMATCH
XRPUSD_490_BEARISH_487_488,XRPUSD,1h,SHORT,487,2024-06-21T07:00:00+00:00,488,BOS,internal,0.4931,0.4895,0.0036,0.7354,487,0.4931,0.4895,0.0036,0.7354,487,True,True,True,True,NO_MISMATCH
SOLUSD_502_BEARISH_474_487,SOLUSD,1h,SHORT,474,2024-06-20T18:00:00+00:00,487,CHOCH,internal,135.785,134.25,1.535,1.1434,474,135.785,134.25,1.535,1.1434,474,True,True,True,True,NO_MISMATCH
SOLUSD_512_BULLISH_504_509,SOLUSD,1h,LONG,504,2024-06-22T00:00:00+00:00,509,CHOCH,internal,134.335,133.208,1.127,0.846,504,134.335,133.208,1.127,0.846,504,True,True,True,True,NO_MISMATCH
ETHUSD_519_BEARISH_507_511,ETHUSD,1h,SHORT,507,2024-06-22T03:00:00+00:00,511,CHOCH,internal,3513.15,3505.15,8.0,0.2282,507,3513.15,3505.15,8.0,0.2282,507,True,True,True,True,NO_MISMATCH
ETHUSD_527_BULLISH_493_499,ETHUSD,1h,LONG,493,2024-06-21T13:00:00+00:00,499,CHOCH,internal,3498.3,3455.65,42.65,1.2342,493,3498.3,3455.65,42.65,1.2342,493,True,True,True,True,NO_MISMATCH
ETHUSD_538_BULLISH_524_530,ETHUSD,1h,LONG,524,2024-06-22T20:00:00+00:00,530,CHOCH,internal,3498.35,3486.6,11.75,0.337,524,3498.35,3486.6,11.75,0.337,524,True,True,True,True,NO_MISMATCH
SOLUSD_538_BULLISH_527_529,SOLUSD,1h,LONG,527,2024-06-22T23:00:00+00:00,529,CHOCH,internal,134.265,133.11,1.155,0.8677,527,134.265,133.11,1.155,0.8677,527,True,True,True,True,NO_MISMATCH
BTCUSD_542_BULLISH_501_511,BTCUSD,1h,LONG,501,2024-06-21T21:00:00+00:00,511,CHOCH,internal,64227.5,63859.5,368.0,0.5763,501,64227.5,63859.5,368.0,0.5763,501,True,True,True,True,NO_MISMATCH
ETHUSD_615_BULLISH_584_590,ETHUSD,1h,LONG,584,2024-06-25T08:00:00+00:00,590,CHOCH,internal,3365.75,3346.65,19.1,0.5707,584,3365.75,3346.65,19.1,0.5707,584,True,True,True,True,NO_MISMATCH
