Configuration,Start Capital ($),Gross End ($),Gross Return (%),Net End ($),Net Return (%),Trades,Wins,Losses,Win Rate (%),Expectancy (R),Total Realized R,Profit Factor,Max DD (Net %)
Isolated BTCUSD,10.0,379896.8057,+3798868.06%,352.3137,+3423.14%,125,82,43,65.60%,+0.4519R,+56.49R,2.31,96.49%
Isolated ETHUSD,10.0,21035.4128,+210254.13%,291.2963,+2812.96%,97,71,26,73.20%,+0.3783R,+36.69R,2.41,89.78%
Isolated SOLUSD,10.0,11568912745.5937,+115689127355.94%,56955719.9792,+569557099.79%,135,112,23,82.96%,+0.5806R,+78.39R,4.41,75.91%
Isolated XRPUSD,10.0,9432.9803,+94229.80%,86.6215,+766.22%,99,68,31,68.69%,+0.3836R,+37.98R,2.23,97.71%
Unified Multi-Pair Portfolio,10.0,8.720836735790492e+20,+8720836735790490845184.00%,506323020046.9134,+5063230200369.13%,456,333,123,73.03%,+0.4595R,+209.55R,2.7,96.04%
