trade_num,asset,direction,decision_time,entry_time,exit_time,entry_price,ob_high,ob_low,sl_price,tp_price,sl_dist_pct,leverage,tp_ret_pct,outcome,realized_r,loss_mechanism,starting_capital_gross,gross_pnl_usd,ending_capital_gross,starting_capital_net,fees_usd,net_pnl_usd,ending_capital_net,narrative
1,BTCUSD,SHORT,2026-08-23 11:00:00+00:00,2026-08-23 11:00:00+00:00,2026-08-23 13:00:00+00:00,77240.75,77432.0,77177.0,77432.0,76622.824,0.2476,141.36,113.08,FILLED_SL,-1.0,CONSOLIDATION_REVERSAL,10.0,-3.5,6.5,10.0,1.1308,-4.6308,5.3692,"Filled at 77240.75, moved inside zone for 2 bars, then reversed and breached distal SL at 77432.00."
2,BTCUSD,SHORT,2026-08-24 02:00:00+00:00,2026-08-24 07:00:00+00:00,2026-08-24 08:00:00+00:00,77559.375,78030.0,77402.5,78030.0,76938.9,0.6068,57.68,46.14,FILLED_TP,1.3184,N/A,6.5,2.9994,9.4994,5.3692,0.2478,2.2298,7.599,Price expanded in trade direction to hit fixed 0.8% TP (76938.90) in candle [76820.50 - 77410.00].
3,XRPUSD,SHORT,2026-08-24 09:00:00+00:00,2026-08-24 09:00:00+00:00,2026-08-24 09:00:00+00:00,1.4824,1.5046,1.475,1.5046,1.4705,1.4976,23.37,18.7,FILLED_TP,0.5342,N/A,9.4994,1.7761,11.2755,7.599,0.1421,1.2787,8.8776,Price expanded in trade direction to hit fixed 0.8% TP (1.47) in candle [1.46 - 1.49].
4,XRPUSD,SHORT,2026-08-24 12:00:00+00:00,2026-08-24 12:00:00+00:00,2026-08-24 12:00:00+00:00,1.5167,1.5323,1.5115,1.5323,1.5046,1.0285,34.03,27.22,FILLED_TP,0.7778,N/A,11.2755,3.0695,14.345,8.8776,0.2417,2.1751,11.0527,Price expanded in trade direction to hit fixed 0.8% TP (1.50) in candle [1.48 - 1.52].
5,BTCUSD,LONG,2026-08-25 09:00:00+00:00,2026-08-25 09:00:00+00:00,2026-08-25 09:00:00+00:00,78984.875,79169.0,78432.5,78432.5,79616.754,0.6993,50.05,40.04,FILLED_TP,1.1439,N/A,14.345,5.7434,20.0883,11.0527,0.4425,3.9827,15.0354,Price expanded in trade direction to hit fixed 0.8% TP (79616.75) in candle [78840.50 - 79938.00].
6,SOLUSD,LONG,2026-08-26 09:00:00+00:00,2026-08-26 09:00:00+00:00,2026-08-26 09:00:00+00:00,95.866,96.219,94.807,94.807,96.6329,1.1047,31.68,25.35,FILLED_TP,0.7242,N/A,20.0883,5.0918,25.1801,15.0354,0.3811,3.4299,18.4654,Price expanded in trade direction to hit fixed 0.8% TP (96.63) in candle [95.78 - 97.02].
