trade_number,datetime,exit_datetime,asset,direction,ob_id,ob_high,ob_low,ob_width,ob_width_pct,entry,sl,tp,sl_distance,tp_distance,tp_price_move_pct,planned_rr,leverage,starting_capital_35pct,notional_size_35pct,margin_used_35pct,risk_amount_35pct,gross_pnl_35pct,fees_35pct,net_pnl_35pct,ending_capital_35pct,starting_capital_10pct,net_pnl_10pct,ending_capital_10pct,starting_capital_1pct,net_pnl_1pct,ending_capital_1pct,outcome,r_multiple,holding_time_hours,exit_reason,global_trade_lock_state,ambiguity_status
11,2024-06-18T00:00:00+00:00,2024-06-18T01:00:00+00:00,BTCUSD,LONG,BTCUSD_408_BULLISH_398_402,65808.0,65139.0,669.0,1.0175,65640.75,65139.0,66100.2352,501.75,459.4852,0.7,0.9158,45,0.1797,8.085,0.1797,0.0629,-0.0629,0.0065,-0.0694,0.1103,4.8144,-0.4814,4.333,9.3363,-0.0934,9.243,SL_HIT,-1.0,1,SL_HIT,ACTIVE,AMBIGUOUS_RESOLVED_CONSERVATIVE
12,2024-06-19T03:00:00+00:00,2024-06-19T04:00:00+00:00,ETHUSD,SHORT,ETHUSD_435_BEARISH_402_409,3579.6,3548.2,31.4,0.8807,3556.05,3579.6,3531.1576,23.55,24.8924,0.7,1.057,52,0.1103,5.7364,0.1103,0.0386,-0.0386,0.0046,-0.0432,0.0671,4.333,-0.4333,3.8997,9.243,-0.0924,9.1505,SL_HIT,-1.0,1,SL_HIT,ACTIVE,UNAMBIGUOUS
13,2024-06-19T06:00:00+00:00,2024-06-19T11:00:00+00:00,BTCUSD,SHORT,BTCUSD_438_BEARISH_413_427,65851.0,65561.0,290.0,0.4421,65633.5,65851.0,65174.0655,217.5,459.4345,0.7,2.1123,100,0.0671,6.7116,0.0671,0.0235,0.0496,0.0054,0.0443,0.1114,3.8997,0.8237,4.7234,9.1505,0.1933,9.3438,TP_HIT,2.1123,5,TP_HIT,ACTIVE,UNAMBIGUOUS
14,2024-06-19T17:00:00+00:00,2024-06-20T07:00:00+00:00,XRPUSD,SHORT,XRPUSD_449_BEARISH_418_424,0.5001,0.4961,0.004,0.8043,0.4971,0.5001,0.4936,0.003,0.0035,0.7,1.1599,57,0.1114,6.3479,0.1114,0.039,-0.039,0.0051,-0.0441,0.0673,4.7234,-0.4723,4.2511,9.3438,-0.0934,9.2504,SL_HIT,-1.0,14,SL_HIT,ACTIVE,UNAMBIGUOUS
15,2024-06-20T14:00:00+00:00,2024-06-20T15:00:00+00:00,XRPUSD,LONG,XRPUSD_470_BULLISH_460_463,0.495,0.4921,0.0029,0.5865,0.4943,0.4921,0.4977,0.0022,0.0035,0.7,1.5908,79,0.0673,5.3175,0.0673,0.0236,-0.0236,0.0043,-0.0278,0.0395,4.2511,-0.4251,3.826,9.2504,-0.0925,9.1579,SL_HIT,-1.0,1,SL_HIT,ACTIVE,UNAMBIGUOUS
16,2024-06-21T09:00:00+00:00,2024-06-21T12:00:00+00:00,ETHUSD,SHORT,ETHUSD_489_BEARISH_482_487,3537.0,3507.95,29.05,0.8265,3515.2125,3537.0,3490.606,21.7875,24.6065,0.7,1.1294,56,0.0395,2.2119,0.0395,0.0138,0.0156,0.0018,0.0138,0.0533,3.826,0.4321,4.2581,9.1579,0.1034,9.2613,TP_HIT,1.1294,3,TP_HIT,ACTIVE,UNAMBIGUOUS
17,2024-06-21T22:00:00+00:00,2024-06-22T05:00:00+00:00,SOLUSD,SHORT,SOLUSD_502_BEARISH_474_487,135.785,134.25,1.535,1.1384,134.6337,135.785,133.6913,1.1513,0.9424,0.7,0.8186,40,0.0533,2.1336,0.0533,0.0187,-0.0187,0.0017,-0.0204,0.033,4.2581,-0.4258,3.8322,9.2613,-0.0926,9.1687,SL_HIT,-1.0,7,SL_HIT,ACTIVE,UNAMBIGUOUS
18,2024-06-22T08:00:00+00:00,2024-06-22T23:00:00+00:00,SOLUSD,LONG,SOLUSD_512_BULLISH_504_509,134.335,133.208,1.127,0.8417,134.0532,133.208,134.9916,0.8452,0.9384,0.7,1.1102,55,0.033,1.8131,0.033,0.0115,-0.0115,0.0015,-0.013,0.02,3.8322,-0.3832,3.449,9.1687,-0.0917,9.077,SL_HIT,-1.0,15,SL_HIT,ACTIVE,UNAMBIGUOUS
19,2024-06-22T23:00:00+00:00,2024-06-23T20:00:00+00:00,ETHUSD,LONG,ETHUSD_527_BULLISH_493_499,3498.3,3455.65,42.65,1.2195,3487.6375,3455.65,3512.051,31.9875,24.4135,0.7,0.7632,38,0.02,0.7591,0.02,0.007,-0.007,0.0006,-0.0076,0.0124,3.449,-0.3449,3.1041,9.077,-0.0908,8.9863,SL_HIT,-1.0,21,SL_HIT,ACTIVE,UNAMBIGUOUS
20,2024-06-26T15:00:00+00:00,2024-06-26T17:00:00+00:00,ETHUSD,LONG,ETHUSD_615_BULLISH_584_590,3365.75,3346.65,19.1,0.5682,3360.975,3346.65,3384.5018,14.325,23.5268,0.7,1.6424,82,0.0124,1.015,0.0124,0.0043,-0.0043,0.0008,-0.0051,0.0072,3.1041,-0.3104,2.7937,8.9863,-0.0899,8.8964,SL_HIT,-1.0,2,SL_HIT,ACTIVE,UNAMBIGUOUS
21,2024-06-26T17:00:00+00:00,2024-06-27T06:00:00+00:00,BTCUSD,LONG,BTCUSD_617_BULLISH_583_590,61262.5,60646.5,616.0,1.0059,61108.5,60646.5,61536.2595,462.0,427.7595,0.7,0.9259,46,0.0072,0.3327,0.0072,0.0025,-0.0025,0.0003,-0.0028,0.0044,2.7937,-0.2794,2.5143,8.8964,-0.089,8.8074,SL_HIT,-1.0,13,SL_HIT,ACTIVE,UNAMBIGUOUS
22,2024-06-28T02:00:00+00:00,2024-06-28T07:00:00+00:00,ETHUSD,LONG,ETHUSD_650_BULLISH_648_649,3454.95,3436.3,18.65,0.5405,3450.2875,3436.3,3474.4395,13.9875,24.152,0.7,1.7267,86,0.0044,0.3815,0.0044,0.0016,-0.0016,0.0003,-0.0019,0.0026,2.5143,-0.2514,2.2629,8.8074,-0.0881,8.7194,SL_HIT,-1.0,5,SL_HIT,ACTIVE,UNAMBIGUOUS
23,2024-06-28T09:00:00+00:00,2024-06-28T15:00:00+00:00,BTCUSD,SHORT,BTCUSD_657_BEARISH_649_655,62212.5,61495.5,717.0,1.1651,61674.75,62212.5,61243.0267,537.75,431.7233,0.7,0.8028,40,0.0026,0.1031,0.0026,0.0009,0.0007,0.0001,0.0006,0.0032,2.2629,0.1817,2.4446,8.7194,0.07,8.7894,TP_HIT,0.8028,6,TP_HIT,ACTIVE,UNAMBIGUOUS
24,2024-06-29T08:00:00+00:00,2024-06-30T05:00:00+00:00,BTCUSD,LONG,BTCUSD_680_BULLISH_674_679,60995.5,60723.0,272.5,0.4468,60927.375,60723.0,61353.8666,204.375,426.4916,0.7,2.0868,100,0.0032,0.322,0.0032,0.0011,-0.0011,0.0003,-0.0014,0.0018,2.4446,-0.2445,2.2001,8.7894,-0.0879,8.7015,SL_HIT,-1.0,21,SL_HIT,ACTIVE,UNAMBIGUOUS
25,2024-06-30T07:00:00+00:00,2024-06-30T14:00:00+00:00,BTCUSD,SHORT,BTCUSD_703_BEARISH_660_662,61865.5,61316.0,549.5,0.8928,61453.375,61865.5,61023.2014,412.125,430.1736,0.7,1.0438,52,0.0018,0.0954,0.0018,0.0006,-0.0006,0.0001,-0.0007,0.0011,2.2001,-0.22,1.9801,8.7015,-0.087,8.6144,SL_HIT,-1.0,7,SL_HIT,ACTIVE,UNAMBIGUOUS
