ob_id,asset,direction,decision_timestamp,decision_bar_idx,ob_top,ob_bottom,ob_width,r_ctrl_a_quantedge_current,r_ctrl_b_proximal_edge,r_ctrl_c_midpoint_50,r_ctrl_d_deep_75,r_ctrl_e_swing_liquidity_tp,r_ctrl_f_atr_buffered_sl,r_ctrl_g_optimistic_exec,mfe_r,mae_r,holding_bars,is_ambiguous_same_bar_touch,first_touch_occurred
ETHUSD_519_BEARISH_507_511,ETHUSD,SHORT,2024-06-22T15:00:00+00:00,519,3513.15,3505.15,8.0,1.7138,1.7143,4.428,0.0,-0.2,1.4286,1.7138,2.275,0.50625,4,False,True
ETHUSD_527_BULLISH_493_499,ETHUSD,LONG,2024-06-22T23:00:00+00:00,527,3498.3,3455.65,42.65000000000009,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.074248,2.686596,21,False,True
ETHUSD_538_BULLISH_524_530,ETHUSD,LONG,2024-06-23T10:00:00+00:00,538,3498.35,3486.6,11.75,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.612766,1.446809,4,False,True
SOLUSD_538_BULLISH_527_529,SOLUSD,LONG,2024-06-23T10:00:00+00:00,538,134.265,133.11,1.1549999999999727,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.441847,2.142857,4,False,True
BTCUSD_542_BULLISH_501_511,BTCUSD,LONG,2024-06-23T14:00:00+00:00,542,64227.5,63859.5,368.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.014946,1.623641,6,False,True
ETHUSD_615_BULLISH_584_590,ETHUSD,LONG,2024-06-26T15:00:00+00:00,615,3365.75,3346.65,19.09999999999991,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.379581,2.039267,2,False,True
BTCUSD_617_BULLISH_583_590,BTCUSD,LONG,2024-06-26T17:00:00+00:00,617,61262.5,60646.5,616.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.5,-1.0,0.454545,1.060606,13,False,True
ETHUSD_650_BULLISH_648_649,ETHUSD,LONG,2024-06-28T02:00:00+00:00,650,3454.95,3436.3,18.649999999999636,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.576408,1.482574,5,False,True
XRPUSD_651_BEARISH_594_605,XRPUSD,SHORT,2024-06-28T03:00:00+00:00,651,0.479,0.4755,0.003500000000000003,-1.0,-1.0,-1.0,-1.0,-1.0,-0.5,-1.0,0.638095,1.0,5,False,True
XRPUSD_655_BULLISH_638_654,XRPUSD,LONG,2024-06-28T07:00:00+00:00,655,0.4768,0.4721,0.004699999999999982,1.2411,1.4965,0.0,0.0,-0.2,-0.5,1.2411,1.496454,0.0,3,False,True
BTCUSD_657_BEARISH_649_655,BTCUSD,SHORT,2024-06-28T09:00:00+00:00,657,62212.5,61495.5,717.0,1.7143,1.7143,0.0,0.0,-0.2,1.4286,1.7143,1.737331,0.354719,6,False,True
ETHUSD_658_BEARISH_650_655,ETHUSD,SHORT,2024-06-28T10:00:00+00:00,658,3485.0,3445.65,39.34999999999991,1.7144,1.7143,4.428,0.0,-0.2,1.4286,1.7144,1.766624,0.67302,4,False,True
BTCUSD_680_BULLISH_674_679,BTCUSD,LONG,2024-06-29T08:00:00+00:00,680,60995.5,60723.0,272.5,-1.0,-1.0,-1.0,-1.0,-1.0,-0.5,-1.0,0.933945,1.0,21,False,True
BTCUSD_703_BEARISH_660_662,BTCUSD,SHORT,2024-06-30T07:00:00+00:00,703,61865.5,61316.0,549.5,-1.0,-1.0,-1.0,-1.0,-1.0,-0.5,-1.0,0.254474,1.042463,7,False,True
ETHUSD_703_BEARISH_679_694,ETHUSD,SHORT,2024-06-30T07:00:00+00:00,703,3407.7,3388.05,19.649999999999636,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.458015,1.6743,10,False,True
XRPUSD_731_BULLISH_721_728,XRPUSD,LONG,2024-07-01T11:00:00+00:00,731,0.4798,0.4757,0.0040999999999999925,0.3984,1.0488,0.0,0.0,-0.2,-0.5,0.3984,1.04878,0.0,1,False,True
XRPUSD_749_BEARISH_735_742,XRPUSD,SHORT,2024-07-02T05:00:00+00:00,749,0.4827,0.4786,0.0040999999999999925,-1.0,-1.0,-1.0,-1.0,-1.0,-0.5,-1.0,0.430894,1.162602,4,False,True
SOLUSD_758_BULLISH_752_756,SOLUSD,LONG,2024-07-02T14:00:00+00:00,758,148.3682,146.918,1.4501999999999953,1.7141,1.7143,0.0,0.0,-0.2,1.4286,1.7141,1.802372,0.352457,3,False,True
ETHUSD_792_BEARISH_782_787,ETHUSD,SHORT,2024-07-04T00:00:00+00:00,792,3325.4,3305.55,19.84999999999991,1.7144,1.7143,0.0,0.0,2.5,1.4286,1.7144,7.275399,0.0,1,False,True
SOLUSD_831_BEARISH_811_815,SOLUSD,SHORT,2024-07-05T15:00:00+00:00,831,135.9,133.925,1.9749999999999943,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.323207,1.215359,1,False,True
