trade_number,timestamp,exit_timestamp,asset,direction,ob_id,ob_high,ob_low,ob_width,ob_width_percent,tp_regime,entry_price,sl_price,tp_price,risk_distance,reward_distance,planned_rr,outcome,realized_R,starting_capital_10pct,risk_amount_10pct,pnl_dollar_10pct,ending_capital_10pct,starting_capital_1pct,risk_amount_1pct,pnl_dollar_1pct,ending_capital_1pct,holding_time_hours,exit_reason,ambiguity_status
11,2024-06-17T17:00:00+00:00,2024-06-17T18:00:00+00:00,BTCUSD,SHORT,BTCUSD_401_BEARISH_382_393,66993.0,66563.5,429.5,0.6447,REGIME_B_GT_06,66670.875,66993.0,66348.75,322.125,322.125,1.0,SL_HIT,-1.0,5.7023,0.5702,-0.5702,5.1321,9.494,0.0949,-0.0949,9.3991,1,SL_HIT,UNAMBIGUOUS
12,2024-06-17T18:00:00+00:00,2024-06-17T20:00:00+00:00,BTCUSD,SHORT,BTCUSD_402_BEARISH_325_327,67392.0,66969.0,423.0,0.6304,REGIME_B_GT_06,67074.75,67392.0,66757.5,317.25,317.25,1.0,TP_HIT,1.0,5.1321,0.5132,0.5132,5.6453,9.3991,0.094,0.094,9.4931,2,TP_HIT,UNAMBIGUOUS
13,2024-06-18T00:00:00+00:00,2024-06-18T01:00:00+00:00,BTCUSD,LONG,BTCUSD_408_BULLISH_398_402,65808.0,65139.0,669.0,1.0175,REGIME_B_GT_06,65640.75,65139.0,66142.5,501.75,501.75,1.0,SL_HIT,-1.0,5.6453,0.5645,-0.5645,5.0807,9.4931,0.0949,-0.0949,9.3981,1,SL_HIT,UNAMBIGUOUS
14,2024-06-19T03:00:00+00:00,2024-06-19T04:00:00+00:00,ETHUSD,SHORT,ETHUSD_435_BEARISH_402_409,3579.6,3548.2,31.4,0.8807,REGIME_B_GT_06,3556.05,3579.6,3532.5,23.55,23.55,1.0,SL_HIT,-1.0,5.0807,0.5081,-0.5081,4.5727,9.3981,0.094,-0.094,9.3042,1,SL_HIT,UNAMBIGUOUS
15,2024-06-19T06:00:00+00:00,2024-06-19T11:00:00+00:00,BTCUSD,SHORT,BTCUSD_438_BEARISH_413_427,65851.0,65561.0,290.0,0.4421,REGIME_A_LE_06,65561.0,65851.0,65063.8571,290.0,497.1429,1.7143,TP_HIT,1.7143,4.5727,0.4573,0.7839,5.3565,9.3042,0.093,0.1595,9.4637,5,TP_HIT,UNAMBIGUOUS
16,2024-06-19T17:00:00+00:00,2024-06-20T07:00:00+00:00,XRPUSD,SHORT,XRPUSD_449_BEARISH_418_424,0.5001,0.4961,0.004,0.8043,REGIME_B_GT_06,0.4971,0.5001,0.4941,0.003,0.003,1.0,SL_HIT,-1.0,5.3565,0.5357,-0.5357,4.8209,9.4637,0.0946,-0.0946,9.369,14,SL_HIT,UNAMBIGUOUS
17,2024-06-20T14:00:00+00:00,2024-06-20T15:00:00+00:00,XRPUSD,LONG,XRPUSD_470_BULLISH_460_463,0.495,0.4921,0.0029,0.5865,REGIME_A_LE_06,0.495,0.4921,0.5,0.0029,0.005,1.7143,SL_HIT,-1.0,4.8209,0.4821,-0.4821,4.3388,9.369,0.0937,-0.0937,9.2753,1,SL_HIT,UNAMBIGUOUS
18,2024-06-20T16:00:00+00:00,2024-06-20T18:00:00+00:00,SOLUSD,LONG,SOLUSD_472_BULLISH_427_434,132.906,130.418,2.488,1.8742,REGIME_B_GT_06,132.284,130.418,134.15,1.866,1.866,1.0,TP_HIT,1.0,4.3388,0.4339,0.4339,4.7727,9.2753,0.0928,0.0928,9.3681,2,TP_HIT,UNAMBIGUOUS
19,2024-06-21T09:00:00+00:00,2024-06-21T12:00:00+00:00,ETHUSD,SHORT,ETHUSD_489_BEARISH_482_487,3537.0,3507.95,29.05,0.8265,REGIME_B_GT_06,3515.2125,3537.0,3493.425,21.7875,21.7875,1.0,TP_HIT,1.0,4.7727,0.4773,0.4773,5.25,9.3681,0.0937,0.0937,9.4618,3,TP_HIT,UNAMBIGUOUS
20,2024-06-21T22:00:00+00:00,2024-06-22T05:00:00+00:00,SOLUSD,SHORT,SOLUSD_502_BEARISH_474_487,135.785,134.25,1.535,1.1384,REGIME_B_GT_06,134.6337,135.785,133.4825,1.1513,1.1513,1.0,SL_HIT,-1.0,5.25,0.525,-0.525,4.725,9.4618,0.0946,-0.0946,9.3671,7,SL_HIT,UNAMBIGUOUS
21,2024-06-22T08:00:00+00:00,2024-06-22T23:00:00+00:00,SOLUSD,LONG,SOLUSD_512_BULLISH_504_509,134.335,133.208,1.127,0.8417,REGIME_B_GT_06,134.0532,133.208,134.8985,0.8452,0.8452,1.0,SL_HIT,-1.0,4.725,0.4725,-0.4725,4.2525,9.3671,0.0937,-0.0937,9.2735,15,SL_HIT,UNAMBIGUOUS
22,2024-06-22T23:00:00+00:00,2024-06-23T20:00:00+00:00,ETHUSD,LONG,ETHUSD_527_BULLISH_493_499,3498.3,3455.65,42.65,1.2195,REGIME_B_GT_06,3487.6375,3455.65,3519.625,31.9875,31.9875,1.0,SL_HIT,-1.0,4.2525,0.4252,-0.4252,3.8272,9.2735,0.0927,-0.0927,9.1807,21,SL_HIT,UNAMBIGUOUS
23,2024-06-26T15:00:00+00:00,2024-06-26T17:00:00+00:00,ETHUSD,LONG,ETHUSD_615_BULLISH_584_590,3365.75,3346.65,19.1,0.5682,REGIME_A_LE_06,3365.75,3346.65,3398.4929,19.1,32.7429,1.7143,SL_HIT,-1.0,3.8272,0.3827,-0.3827,3.4445,9.1807,0.0918,-0.0918,9.0889,2,SL_HIT,UNAMBIGUOUS
24,2024-06-26T17:00:00+00:00,2024-06-27T06:00:00+00:00,BTCUSD,LONG,BTCUSD_617_BULLISH_583_590,61262.5,60646.5,616.0,1.0059,REGIME_B_GT_06,61108.5,60646.5,61570.5,462.0,462.0,1.0,SL_HIT,-1.0,3.4445,0.3444,-0.3444,3.1,9.0889,0.0909,-0.0909,8.998,13,SL_HIT,UNAMBIGUOUS
25,2024-06-28T02:00:00+00:00,2024-06-28T07:00:00+00:00,ETHUSD,LONG,ETHUSD_650_BULLISH_648_649,3454.95,3436.3,18.65,0.5405,REGIME_A_LE_06,3454.95,3436.3,3486.9214,18.65,31.9714,1.7143,SL_HIT,-1.0,3.1,0.31,-0.31,2.79,8.998,0.09,-0.09,8.9081,5,SL_HIT,UNAMBIGUOUS
26,2024-06-28T07:00:00+00:00,2024-06-28T10:00:00+00:00,XRPUSD,LONG,XRPUSD_655_BULLISH_638_654,0.4768,0.4721,0.0047,0.9901,REGIME_B_GT_06,0.4756,0.4721,0.4792,0.0035,0.0035,1.0,TP_HIT,1.0,2.79,0.279,0.279,3.069,8.9081,0.0891,0.0891,8.9971,3,TP_HIT,UNAMBIGUOUS
27,2024-06-28T10:00:00+00:00,2024-06-28T14:00:00+00:00,ETHUSD,SHORT,ETHUSD_658_BEARISH_650_655,3485.0,3445.65,39.35,1.1414,REGIME_B_GT_06,3455.4875,3485.0,3425.975,29.5125,29.5125,1.0,TP_HIT,1.0,3.069,0.3069,0.3069,3.3759,8.9971,0.09,0.09,9.0871,4,TP_HIT,UNAMBIGUOUS
28,2024-06-29T08:00:00+00:00,2024-06-30T05:00:00+00:00,BTCUSD,LONG,BTCUSD_680_BULLISH_674_679,60995.5,60723.0,272.5,0.4468,REGIME_A_LE_06,60995.5,60723.0,61462.6429,272.5,467.1429,1.7143,SL_HIT,-1.0,3.3759,0.3376,-0.3376,3.0384,9.0871,0.0909,-0.0909,8.9962,21,SL_HIT,UNAMBIGUOUS
29,2024-06-30T07:00:00+00:00,2024-06-30T14:00:00+00:00,BTCUSD,SHORT,BTCUSD_703_BEARISH_660_662,61865.5,61316.0,549.5,0.8928,REGIME_B_GT_06,61453.375,61865.5,61041.25,412.125,412.125,1.0,SL_HIT,-1.0,3.0384,0.3038,-0.3038,2.7345,8.9962,0.09,-0.09,8.9063,7,SL_HIT,UNAMBIGUOUS
30,2024-07-01T11:00:00+00:00,2024-07-01T12:00:00+00:00,XRPUSD,LONG,XRPUSD_731_BULLISH_721_728,0.4798,0.4757,0.0041,0.8551,REGIME_B_GT_06,0.4788,0.4757,0.4819,0.0031,0.0031,1.0,TP_HIT,1.0,2.7345,0.2735,0.2735,3.008,8.9063,0.0891,0.0891,8.9953,1,TP_HIT,UNAMBIGUOUS
31,2024-07-02T05:00:00+00:00,2024-07-02T09:00:00+00:00,XRPUSD,SHORT,XRPUSD_749_BEARISH_735_742,0.4827,0.4786,0.0041,0.8536,REGIME_B_GT_06,0.4796,0.4827,0.4766,0.0031,0.0031,1.0,SL_HIT,-1.0,3.008,0.3008,-0.3008,2.7072,8.9953,0.09,-0.09,8.9054,4,SL_HIT,UNAMBIGUOUS
32,2024-07-02T14:00:00+00:00,2024-07-02T17:00:00+00:00,SOLUSD,LONG,SOLUSD_758_BULLISH_752_756,148.3682,146.918,1.4502,0.9784,REGIME_B_GT_06,148.0057,146.918,149.0933,1.0876,1.0876,1.0,TP_HIT,1.0,2.7072,0.2707,0.2707,2.9779,8.9054,0.0891,0.0891,8.9944,3,TP_HIT,UNAMBIGUOUS
33,2024-07-04T00:00:00+00:00,2024-07-04T01:00:00+00:00,ETHUSD,SHORT,ETHUSD_792_BEARISH_782_787,3325.4,3305.55,19.85,0.6001,REGIME_B_GT_06,3310.5125,3325.4,3295.625,14.8875,14.8875,1.0,TP_HIT,1.0,2.9779,0.2978,0.2978,3.2757,8.9944,0.0899,0.0899,9.0844,1,TP_HIT,UNAMBIGUOUS
34,2024-07-05T15:00:00+00:00,2024-07-05T16:00:00+00:00,SOLUSD,SHORT,SOLUSD_831_BEARISH_811_815,135.9,133.925,1.975,1.4646,REGIME_B_GT_06,134.4188,135.9,132.9375,1.4812,1.4812,1.0,SL_HIT,-1.0,3.2757,0.3276,-0.3276,2.9481,9.0844,0.0908,-0.0908,8.9935,1,SL_HIT,UNAMBIGUOUS
35,2024-07-06T01:00:00+00:00,2024-07-06T06:00:00+00:00,XRPUSD,LONG,XRPUSD_841_BULLISH_834_840,0.4272,0.422,0.0052,1.2201,REGIME_B_GT_06,0.4259,0.422,0.4298,0.0039,0.0039,1.0,TP_HIT,1.0,2.9481,0.2948,0.2948,3.2429,8.9935,0.0899,0.0899,9.0835,5,TP_HIT,UNAMBIGUOUS
