ob_id,asset,symbol,direction,timeframe,creation_timestamp,creation_bar_index,confirmation_timestamp,confirmation_bar_index,decision_timestamp,decision_bar_index,top_price,bottom_price,zone_size,zone_size_percent,zone_midpoint,entry_price,sl_price,tp_price,risk_distance,stop_distance_percent,atr_at_decision,atr_normalized_stop_distance,leverage,source_candle_index,source_candle_timestamp,source_candle_open,source_candle_high,source_candle_low,source_candle_close,source_candle_volume,break_type,structure_origin,trend_before_break,internal_trend_at_decision,swing_trend_at_decision,structural_event_id,qualification_status,invalidation_status,invalidation_bar_index,invalidation_timestamp,first_touch_occurred,first_touch_bar_index,first_touch_timestamp,first_touch_price,first_touch_result,realized_r,holding_bars,mfe_r,mae_r,feature_cutoff_timestamp,feat_ob_width_pct,feat_ob_width_atr,feat_stop_distance_pct,feat_stop_distance_atr,feat_entry_depth_in_zone,feat_mitigation_depth_pct,feat_formation_body_ratio,feat_formation_range_atr,feat_displacement_atr,feat_bars_since_formation,feat_bars_since_break,feat_pre_decision_retests,feat_price_to_entry_atr,feat_is_bos,feat_is_choch,feat_origin_swing,feat_trend_align_internal,feat_trend_align_swing,feat_premium_discount,feat_dist_nearest_pivot_atr,feat_atr_pct,feat_atr_percentile,feat_realized_vol_20,feat_vol_expansion,feat_ret_5,feat_ret_15,feat_ret_50,feat_volume_ratio,feat_direction_long
BTCUSD_15090_BEARISH_15079_15085,BTCUSD,BTCUSD,SHORT,1h,2026-02-19T07:00:00+00:00,15079,2026-02-19T13:00:00+00:00,15085,2026-02-19T18:00:00+00:00,15090,67308.5,67008.0,300.5,0.4485,67158.25,67008.0,67308.5,66492.86,300.5,0.4485,643.383747,0.4671,78,15079,2026-02-19T07:00:00+00:00,67130.0,67308.5,67008.0,67190.0,373129.0,bos,internal,BEARISH,BULLISH,BEARISH,internal|bos|brk15085|form15079,QUALIFIED_SHORT,INVALIDATED,15096,2026-02-20T00:00:00+00:00,True,15091,2026-02-19T19:00:00+00:00,67008.0,TOUCH_HIT_SL,-1.0,6,1.2712,1.5125,2026-02-19T18:00:00+00:00,0.448437,0.467062,0.448454,0.467062,0.991681,0.184692,0.199667,0.467062,0.951221,11.0,5.0,1.0,0.003886,1.0,0.0,0.0,0.0,1.0,0.312098,0.025646,0.960124,5.5,0.423116,1.308706,1.70828,0.079155,-0.723714,1.839949,0.0
ETHUSD_15090_BULLISH_14920_14943,ETHUSD,ETHUSD,LONG,1h,2026-02-12T16:00:00+00:00,14920,2026-02-13T15:00:00+00:00,14943,2026-02-19T18:00:00+00:00,15090,1949.35,1896.15,53.2,2.8057,1922.75,1936.05,1896.15,2004.45,39.9,2.0609,25.978783,1.5359,16,14920,2026-02-12T16:00:00+00:00,1947.95,1949.35,1896.15,1908.15,7035674.0,choch,internal,BULLISH,BULLISH,BEARISH,internal|choch|brk14943|form14920,QUALIFIED_LONG,INVALIDATED,15169,2026-02-23T01:00:00+00:00,True,15091,2026-02-19T19:00:00+00:00,1949.35,TOUCH_TIMEOUT_EXIT,0.1604,72,1.4962,0.3534,2026-02-19T18:00:00+00:00,2.743541,2.047825,2.060897,1.535869,0.807331,0.816729,0.74812,2.047825,1.685991,170.0,147.0,21.0,0.117403,0.0,1.0,0.0,1.0,0.0,0.249906,0.057739,1.339734,5.0,0.527734,1.106672,0.957984,-1.648407,-2.058237,1.810917,1.0
SOLUSD_15094_BEARISH_15079_15085,SOLUSD,SOLUSD,SHORT,1h,2026-02-19T07:00:00+00:00,15079,2026-02-19T13:00:00+00:00,15085,2026-02-19T22:00:00+00:00,15094,82.672,82.1,0.572,0.6967,82.386,82.243,82.672,81.51,0.429,0.5216,1.165461,0.3681,67,15079,2026-02-19T07:00:00+00:00,82.362,82.672,82.1,82.381,35774.0,bos,internal,BEARISH,BULLISH,BEARISH,internal|bos|brk15085|form15079,QUALIFIED_SHORT,INVALIDATED,15096,2026-02-20T00:00:00+00:00,True,15095,2026-02-19T23:00:00+00:00,82.1,TOUCH_HIT_SL,-1.0,2,0.3077,2.9907,2026-02-19T22:00:00+00:00,0.694841,0.490793,0.521625,0.368095,0.613636,0.763986,0.033217,0.490793,0.687282,15.0,9.0,3.0,0.066926,1.0,0.0,0.0,0.0,1.0,0.33437,0.084945,1.415752,0.5,0.635946,0.537984,2.286254,-0.072832,-3.18935,0.752522,0.0
XRPUSD_15097_BEARISH_15079_15083,XRPUSD,XRPUSD,SHORT,1h,2026-02-19T07:00:00+00:00,15079,2026-02-19T11:00:00+00:00,15083,2026-02-20T01:00:00+00:00,15097,1.437,1.4214,0.0156,1.0975,1.4292,1.4253,1.437,1.41,0.0117,0.8209,0.019374,0.6039,42,15079,2026-02-19T07:00:00+00:00,1.4271,1.437,1.4214,1.4321,1435046.0,bos,internal,BEARISH,BULLISH,BEARISH,internal|bos|brk15083|form15079,QUALIFIED_SHORT,INVALIDATED,15112,2026-02-20T16:00:00+00:00,True,15098,2026-02-20T02:00:00+00:00,1.4214,TOUCH_HIT_TP,1.3077,3,2.2137,0.2479,2026-02-20T01:00:00+00:00,1.095198,0.805189,0.82088,0.603892,0.807692,0.205128,0.320513,0.805189,0.072261,18.0,14.0,0.0,0.046453,1.0,0.0,0.0,0.0,1.0,0.320417,0.092906,1.360175,0.5,0.597794,0.510985,1.006949,1.006949,-3.31908,0.418709,0.0
BTCUSD_15140_BEARISH_15026_15038,BTCUSD,BTCUSD,SHORT,1h,2026-02-17T02:00:00+00:00,15026,2026-02-17T14:00:00+00:00,15038,2026-02-21T20:00:00+00:00,15140,69226.0,68356.5,869.5,1.272,68791.25,68573.875,69226.0,67455.95,652.125,0.951,583.798389,1.117,36,15026,2026-02-17T02:00:00+00:00,68589.0,69226.0,68356.5,68812.5,525401.0,bos,internal,BEARISH,BEARISH,BULLISH,internal|bos|brk15038|form15026,QUALIFIED_SHORT,INVALIDATED,15234,2026-02-25T18:00:00+00:00,True,15141,2026-02-21T21:00:00+00:00,68356.5,TOUCH_HIT_TP,1.7143,18,1.912,0.0,2026-02-21T20:00:00+00:00,1.269186,1.489384,0.950982,1.117038,0.825187,0.378378,0.257044,1.489384,2.15571,114.0,102.0,7.0,0.111982,1.0,0.0,0.0,1.0,0.0,0.942598,0.007708,0.852155,0.5,0.205171,0.020555,-0.100616,0.993595,2.235471,0.879052,0.0
BTCUSD_15142_BULLISH_15123_15133,BTCUSD,BTCUSD,LONG,1h,2026-02-21T03:00:00+00:00,15123,2026-02-21T13:00:00+00:00,15133,2026-02-21T22:00:00+00:00,15142,67977.5,67497.0,480.5,0.7119,67737.25,67857.375,67497.0,68475.16,360.375,0.5311,582.137412,0.6191,65,15123,2026-02-21T03:00:00+00:00,67976.5,67977.5,67497.0,67643.0,360558.0,bos,internal,BULLISH,BEARISH,BULLISH,internal|bos|brk15133|form15123,QUALIFIED_LONG,INVALIDATED,15158,2026-02-22T14:00:00+00:00,True,15143,2026-02-21T23:00:00+00:00,67977.5,TOUCH_HIT_SL,-1.0,16,1.0257,1.4717,2026-02-21T22:00:00+00:00,0.7072,0.825406,0.531077,0.619055,0.930281,0.221644,0.694069,0.825406,0.083314,19.0,9.0,0.0,0.148805,1.0,0.0,0.0,0.0,1.0,0.759527,0.004295,0.85679,0.5,0.2527,0.911297,-0.694977,0.171021,1.224636,0.538119,1.0
XRPUSD_15144_BULLISH_15116_15129,XRPUSD,XRPUSD,LONG,1h,2026-02-20T20:00:00+00:00,15116,2026-02-21T09:00:00+00:00,15129,2026-02-22T00:00:00+00:00,15144,1.4294,1.4142,0.0152,1.0748,1.4218,1.4256,1.4142,1.45,0.0114,0.7997,0.017645,0.6461,43,15116,2026-02-20T20:00:00+00:00,1.4231,1.4294,1.4142,1.4188,859461.0,bos,internal,BULLISH,BEARISH,BULLISH,internal|bos|brk15129|form15116,QUALIFIED_LONG,INVALIDATED,15156,2026-02-22T12:00:00+00:00,True,15145,2026-02-22T01:00:00+00:00,1.4294,TOUCH_HIT_SL,-1.0,12,0.614,1.6842,2026-02-22T00:00:00+00:00,1.065172,0.861423,0.799663,0.646067,0.842105,0.381579,0.282895,0.861423,0.306032,28.0,15.0,1.0,0.079342,1.0,0.0,0.0,0.0,1.0,0.43176,0.045338,1.236526,0.5,0.329847,0.544057,-1.088237,-0.820128,1.877633,0.467547,1.0
SOLUSD_15159_BULLISH_15109_15114,SOLUSD,SOLUSD,LONG,1h,2026-02-20T13:00:00+00:00,15109,2026-02-20T18:00:00+00:00,15114,2026-02-22T15:00:00+00:00,15159,83.712,81.75,1.962,2.4,82.731,83.2215,81.75,85.74,1.4715,1.7682,1.026368,1.4337,19,15109,2026-02-20T13:00:00+00:00,83.712,83.712,81.75,82.2,156252.0,bos,internal,BULLISH,BEARISH,BULLISH,internal|bos|brk15114|form15109,QUALIFIED_LONG,INVALIDATED,15168,2026-02-23T00:00:00+00:00,True,15160,2026-02-22T16:00:00+00:00,83.712,TOUCH_HIT_SL,-1.0,9,0.3197,1.2955,2026-02-22T15:00:00+00:00,2.349926,1.911595,1.768173,1.433696,0.88787,0.367992,0.770642,1.911595,0.751193,50.0,45.0,2.0,0.263551,1.0,0.0,0.0,0.0,1.0,0.545375,0.322204,1.229301,0.5,0.312994,0.715143,-1.983987,-1.834172,1.571776,1.483405,1.0
XRPUSD_15159_BULLISH_15109_15111,XRPUSD,XRPUSD,LONG,1h,2026-02-20T13:00:00+00:00,15109,2026-02-20T15:00:00+00:00,15111,2026-02-22T15:00:00+00:00,15159,1.4045,1.3767,0.0278,2.0193,1.3906,1.39755,1.3767,1.43,0.02085,1.4919,0.016955,1.2297,23,15109,2026-02-20T13:00:00+00:00,1.4043,1.4045,1.3767,1.3835,2754204.0,choch,internal,BULLISH,BEARISH,BULLISH,internal|choch|brk15111|form15109,QUALIFIED_LONG,INVALIDATED,15168,2026-02-23T00:00:00+00:00,True,15160,2026-02-22T16:00:00+00:00,1.4045,TOUCH_HIT_SL,-1.0,9,0.1751,1.6571,2026-02-22T15:00:00+00:00,1.996266,1.639624,1.491897,1.229718,0.571942,0.68705,0.748201,1.639624,1.686808,50.0,48.0,2.0,0.291948,0.0,1.0,0.0,0.0,1.0,0.142218,0.011796,1.217514,0.5,0.319288,0.666466,-1.964097,-2.410652,0.657752,1.608311,1.0
SOLUSD_15208_BEARISH_15186_15195,SOLUSD,SOLUSD,SHORT,1h,2026-02-23T18:00:00+00:00,15186,2026-02-24T03:00:00+00:00,15195,2026-02-24T16:00:00+00:00,15208,79.28,78.039,1.241,1.5902,78.6595,78.34925,79.28,76.75,0.93075,1.188,1.016681,0.9155,29,15186,2026-02-23T18:00:00+00:00,78.32,79.28,78.039,78.6181,94778.0,bos,internal,BEARISH,BULLISH,BEARISH,internal|bos|brk15195|form15186,QUALIFIED_SHORT,INVALIDATED,15214,2026-02-24T22:00:00+00:00,True,15209,2026-02-24T17:00:00+00:00,78.039,TOUCH_HIT_SL,-1.0,6,0.8564,1.0967,2026-02-24T16:00:00+00:00,1.588602,1.220639,1.18795,0.915479,0.935536,0.153908,0.24021,1.220639,0.74753,22.0,13.0,0.0,0.226472,1.0,0.0,0.0,0.0,1.0,0.223993,0.109179,1.301452,4.5,0.497293,0.994412,1.78504,0.553489,-6.603142,1.456295,0.0
