asset,direction,setup_time,setup_time_ist,first_touch_time,first_touch_time_ist,bars_from_touch_to_old_entry,old_entry_time,old_entry_time_ist,old_exit_time,old_exit_time_ist,entry_price,sl_price,tp_price,leverage,old_outcome,old_realized_r,old_net_pnl,removal_reason,capital_impact_type
XRPUSD,SHORT,2025-08-20 19:00:00+00:00,2025-08-21 00:30:00 IST,2025-08-20 20:00:00+00:00,2025-08-21 01:30:00 IST,42,2025-08-22 14:00:00+00:00,2025-08-22 19:30:00 IST,2025-08-22 14:00:00+00:00,2025-08-22 19:30:00 IST,2.9972,3.037,2.9792,26.34,FILLED_SL,-1.0,-4.064232292054267e-37,Failed to reach 25% entry within 3 candles of first touch,SAVED_LOSS
BTCUSD,SHORT,2025-08-31 18:00:00+00:00,2025-08-31 23:30:00 IST,2025-08-31 19:00:00+00:00,2025-09-01 00:30:00 IST,3,2025-08-31 22:00:00+00:00,2025-09-01 03:30:00 IST,2025-08-31 23:00:00+00:00,2025-09-01 04:30:00 IST,109184.875,109451.5,108529.7658,100.0,FILLED_TP,2.457,4.347741995577272e-38,Failed to reach 25% entry within 3 candles of first touch,MISSED_WIN
SOLUSD,SHORT,2025-09-05 13:00:00+00:00,2025-09-05 18:30:00 IST,2025-09-05 14:00:00+00:00,2025-09-05 19:30:00 IST,67,2025-09-08 09:00:00+00:00,2025-09-08 14:30:00 IST,2025-09-08 09:00:00+00:00,2025-09-08 14:30:00 IST,210.014,212.993,208.7539,24.67,FILLED_TP,0.423,1.7920929468219385e-38,Failed to reach 25% entry within 3 candles of first touch,MISSED_WIN
SOLUSD,SHORT,2025-09-15 21:00:00+00:00,2025-09-16 02:30:00 IST,2025-09-15 22:00:00+00:00,2025-09-16 03:30:00 IST,3,2025-09-16 01:00:00+00:00,2025-09-16 06:30:00 IST,2025-09-16 01:00:00+00:00,2025-09-16 06:30:00 IST,235.274,238.088,233.8624,29.26,FILLED_TP,0.5017,2.3566755999434815e-38,Failed to reach 25% entry within 3 candles of first touch,MISSED_WIN
SOLUSD,LONG,2025-09-17 10:00:00+00:00,2025-09-17 15:30:00 IST,2025-09-17 11:00:00+00:00,2025-09-17 16:30:00 IST,3,2025-09-17 14:00:00+00:00,2025-09-17 19:30:00 IST,2025-09-17 14:00:00+00:00,2025-09-17 19:30:00 IST,233.5372,231.226,234.9384,35.37,FILLED_TP,0.6063,2.697608430322914e-38,Failed to reach 25% entry within 3 candles of first touch,MISSED_WIN
ETHUSD,SHORT,2025-09-25 14:00:00+00:00,2025-09-25 19:30:00 IST,2025-09-25 15:00:00+00:00,2025-09-25 20:30:00 IST,26,2025-09-26 17:00:00+00:00,2025-09-26 22:30:00 IST,2025-09-26 17:00:00+00:00,2025-09-26 22:30:00 IST,4021.975,4052.5,3997.8432,46.12,FILLED_TP,0.7906,8.304808600920327e-39,Failed to reach 25% entry within 3 candles of first touch,MISSED_WIN
ETHUSD,SHORT,2025-09-30 20:00:00+00:00,2025-10-01 01:30:00 IST,2025-09-30 21:00:00+00:00,2025-10-01 02:30:00 IST,11,2025-10-01 08:00:00+00:00,2025-10-01 13:30:00 IST,2025-10-01 08:00:00+00:00,2025-10-01 13:30:00 IST,4205.7375,4244.1,4180.5031,38.37,FILLED_SL,-1.0,-1.5100872019866868e-38,Failed to reach 25% entry within 3 candles of first touch,SAVED_LOSS
XRPUSD,SHORT,2025-10-18 03:00:00+00:00,2025-10-18 08:30:00 IST,2025-10-18 04:00:00+00:00,2025-10-18 09:30:00 IST,3,2025-10-18 07:00:00+00:00,2025-10-18 12:30:00 IST,2025-10-18 16:00:00+00:00,2025-10-18 21:30:00 IST,2.3519,2.4003,2.3377,16.99,FILLED_TP,0.2913,3.6753109441607893e-41,Failed to reach 25% entry within 3 candles of first touch,MISSED_WIN
XRPUSD,LONG,2025-10-27 20:00:00+00:00,2025-10-28 01:30:00 IST,2025-10-27 21:00:00+00:00,2025-10-28 02:30:00 IST,5,2025-10-28 02:00:00+00:00,2025-10-28 07:30:00 IST,2025-10-28 02:00:00+00:00,2025-10-28 07:30:00 IST,2.6204,2.6001,2.6361,45.12,FILLED_TP,0.7736,8.458635881987918e-41,Failed to reach 25% entry within 3 candles of first touch,MISSED_WIN
BTCUSD,LONG,2025-12-04 14:00:00+00:00,2025-12-04 19:30:00 IST,2025-12-04 15:00:00+00:00,2025-12-04 20:30:00 IST,4,2025-12-04 19:00:00+00:00,2025-12-05 00:30:00 IST,2025-12-04 19:00:00+00:00,2025-12-05 00:30:00 IST,91589.0,90675.5,92138.534,35.09,FILLED_TP,0.6016,9.395739005044193e-43,Failed to reach 25% entry within 3 candles of first touch,MISSED_WIN
SOLUSD,LONG,2025-12-09 09:00:00+00:00,2025-12-09 14:30:00 IST,2025-12-09 10:00:00+00:00,2025-12-09 15:30:00 IST,4,2025-12-09 14:00:00+00:00,2025-12-09 19:30:00 IST,2025-12-09 14:00:00+00:00,2025-12-09 19:30:00 IST,131.9137,130.584,132.7052,34.72,FILLED_TP,0.5952,1.6391202242879397e-42,Failed to reach 25% entry within 3 candles of first touch,MISSED_WIN
ETHUSD,LONG,2025-12-12 00:00:00+00:00,2025-12-12 05:30:00 IST,2025-12-12 01:00:00+00:00,2025-12-12 06:30:00 IST,14,2025-12-12 15:00:00+00:00,2025-12-12 20:30:00 IST,2025-12-12 15:00:00+00:00,2025-12-12 20:30:00 IST,3182.4,3144.0,3201.4944,29.01,FILLED_SL,-1.0,-4.295821202575231e-42,Failed to reach 25% entry within 3 candles of first touch,SAVED_LOSS
ETHUSD,LONG,2025-12-26 19:00:00+00:00,2025-12-27 00:30:00 IST,2025-12-26 20:00:00+00:00,2025-12-27 01:30:00 IST,14,2025-12-27 10:00:00+00:00,2025-12-27 15:30:00 IST,2025-12-27 10:00:00+00:00,2025-12-27 15:30:00 IST,2917.0125,2889.6,2934.5146,37.24,FILLED_TP,0.6385,3.0091215830876763e-44,Failed to reach 25% entry within 3 candles of first touch,MISSED_WIN
ETHUSD,SHORT,2026-01-28 01:00:00+00:00,2026-01-28 06:30:00 IST,2026-01-28 02:00:00+00:00,2026-01-28 07:30:00 IST,8,2026-01-28 10:00:00+00:00,2026-01-28 15:30:00 IST,2026-01-28 10:00:00+00:00,2026-01-28 15:30:00 IST,3020.1,3037.8,3001.9794,59.72,FILLED_SL,-1.0,-2.3844042432257547e-47,Failed to reach 25% entry within 3 candles of first touch,SAVED_LOSS
ETHUSD,LONG,2026-02-14 12:00:00+00:00,2026-02-14 17:30:00 IST,2026-02-14 13:00:00+00:00,2026-02-14 18:30:00 IST,12,2026-02-15 01:00:00+00:00,2026-02-15 06:30:00 IST,2026-02-15 01:00:00+00:00,2026-02-15 06:30:00 IST,2062.2375,2030.55,2074.6109,22.78,FILLED_TP,0.3905,4.294450399256862e-49,Failed to reach 25% entry within 3 candles of first touch,MISSED_WIN
XRPUSD,LONG,2026-02-16 15:00:00+00:00,2026-02-16 20:30:00 IST,2026-02-16 16:00:00+00:00,2026-02-16 21:30:00 IST,4,2026-02-16 20:00:00+00:00,2026-02-17 01:30:00 IST,2026-02-16 20:00:00+00:00,2026-02-17 01:30:00 IST,1.4681,1.4475,1.4769,24.91,FILLED_TP,0.4271,8.315888514300874e-50,Failed to reach 25% entry within 3 candles of first touch,MISSED_WIN
XRPUSD,LONG,2026-03-05 17:00:00+00:00,2026-03-05 22:30:00 IST,2026-03-05 18:00:00+00:00,2026-03-05 23:30:00 IST,10,2026-03-06 04:00:00+00:00,2026-03-06 09:30:00 IST,2026-03-06 04:00:00+00:00,2026-03-06 09:30:00 IST,1.3956,1.3823,1.4039,36.79,FILLED_TP,0.6308,2.7120349694854175e-51,Failed to reach 25% entry within 3 candles of first touch,MISSED_WIN
ETHUSD,LONG,2026-03-06 20:00:00+00:00,2026-03-07 01:30:00 IST,2026-03-06 21:00:00+00:00,2026-03-07 02:30:00 IST,7,2026-03-07 04:00:00+00:00,2026-03-07 09:30:00 IST,2026-03-07 07:00:00+00:00,2026-03-07 12:30:00 IST,1970.85,1944.0,1982.6751,25.69,FILLED_TP,0.4404,2.2558962008746506e-51,Failed to reach 25% entry within 3 candles of first touch,MISSED_WIN
