timestamp,open,high,low,close,volume
2026-01-01T00:00:00Z,124.673,125.2345,124.585,125.133,10071.0
2026-01-01T01:00:00Z,125.162,125.813,124.91,124.972,26115.0
2026-01-01T02:00:00Z,124.992,125.243,124.7851,125.172,18750.0
2026-01-01T03:00:00Z,125.173,125.413,125.002,125.1,15484.0
2026-01-01T04:00:00Z,125.203,125.263,124.8,124.953,11042.0
2026-01-01T05:00:00Z,124.953,125.313,124.942,125.303,11503.0
2026-01-01T06:00:00Z,125.313,125.313,124.88,124.882,10596.0
2026-01-01T07:00:00Z,124.893,124.993,124.241,124.242,32506.0
2026-01-01T08:00:00Z,124.252,124.733,124.153,124.703,19595.0
2026-01-01T09:00:00Z,124.703,125.106,124.612,125.012,30035.0
2026-01-01T10:00:00Z,125.023,125.284,124.942,125.023,27368.0
2026-01-01T11:00:00Z,125.023,125.225,124.762,125.212,29288.0
2026-01-01T12:00:00Z,125.2366,125.263,125.0,125.002,16063.0
2026-01-01T13:00:00Z,125.012,125.133,124.702,124.732,26882.0
2026-01-01T14:00:00Z,124.732,124.933,124.41,124.733,60570.0
2026-01-01T15:00:00Z,124.733,125.25,124.582,124.963,39449.0
2026-01-01T16:00:00Z,124.983,125.023,124.262,124.462,55753.0
2026-01-01T17:00:00Z,124.473,125.653,124.34,125.182,80836.0
2026-01-01T18:00:00Z,125.212,125.383,125.032,125.343,28852.0
2026-01-01T19:00:00Z,125.35,125.813,125.212,125.75,35187.0
2026-01-01T20:00:00Z,125.773,125.983,125.342,125.382,36734.0
2026-01-01T21:00:00Z,125.443,125.703,125.311,125.442,10997.0
2026-01-01T22:00:00Z,125.5,126.264,125.402,126.093,20495.0
2026-01-01T23:00:00Z,126.184,127.255,125.773,126.904,51409.0
2026-01-02T00:00:00Z,126.914,127.164,126.463,126.8,25311.0
2026-01-02T01:00:00Z,126.804,126.964,126.092,126.224,25068.0
2026-01-02T02:00:00Z,126.224,126.704,125.9,126.593,25726.0
2026-01-02T03:00:00Z,126.593,128.056,126.453,127.554,80384.0
2026-01-02T04:00:00Z,127.5747,127.73,126.972,127.014,35323.0
2026-01-02T05:00:00Z,126.993,127.454,126.773,127.353,38663.0
2026-01-02T06:00:00Z,127.354,127.744,127.273,127.364,37796.0
2026-01-02T07:00:00Z,127.353,127.594,126.932,127.153,30690.0
2026-01-02T08:00:00Z,127.184,128.01,127.163,127.973,42336.0
2026-01-02T09:00:00Z,127.984,129.945,127.843,129.423,128585.0
2026-01-02T10:00:00Z,129.434,130.035,128.904,128.974,76912.0
2026-01-02T11:00:00Z,128.974,129.0,128.023,128.255,80974.0
2026-01-02T12:00:00Z,128.235,128.678,127.913,128.444,69163.0
2026-01-02T13:00:00Z,128.444,128.825,128.294,128.384,46540.0
2026-01-02T14:00:00Z,128.375,129.644,126.823,128.734,230656.0
2026-01-02T15:00:00Z,128.795,129.544,127.413,129.015,167191.0
2026-01-02T16:00:00Z,129.005,131.844,128.684,130.946,188330.0
2026-01-02T17:00:00Z,130.946,132.337,130.715,131.466,168075.0
2026-01-02T18:00:00Z,131.466,132.066,130.365,130.826,99065.0
2026-01-02T19:00:00Z,130.8433,131.812,130.6601,131.635,49682.0
2026-01-02T20:00:00Z,131.7,132.168,130.83,131.166,46393.0
2026-01-02T21:00:00Z,131.236,132.167,131.195,131.905,19010.0
2026-01-02T22:00:00Z,131.935,133.3023,131.905,132.636,46822.0
2026-01-02T23:00:00Z,132.6001,132.757,131.915,132.307,27556.0
2026-01-03T00:00:00Z,132.29,132.957,132.266,132.526,21341.0
2026-01-03T01:00:00Z,132.5,132.967,132.376,132.657,18331.0
2026-01-03T02:00:00Z,132.657,133.107,132.096,132.867,34146.0
2026-01-03T03:00:00Z,132.856,133.187,132.176,132.836,44028.0
2026-01-03T04:00:00Z,132.826,132.907,132.2,132.367,43845.0
2026-01-03T05:00:00Z,132.39,132.547,131.625,131.905,58291.0
2026-01-03T06:00:00Z,131.905,132.307,131.065,131.196,71067.0
2026-01-03T07:00:00Z,131.156,131.416,129.594,130.116,101014.0
2026-01-03T08:00:00Z,130.105,131.046,129.805,130.695,64823.0
2026-01-03T09:00:00Z,130.695,131.496,130.375,131.186,56451.0
2026-01-03T10:00:00Z,131.186,131.246,130.815,130.935,33679.0
2026-01-03T11:00:00Z,130.95,130.976,130.445,130.695,32743.0
2026-01-03T12:00:00Z,130.695,130.946,130.505,130.906,31092.0
2026-01-03T13:00:00Z,130.836,131.396,130.805,131.286,40872.0
2026-01-03T14:00:00Z,131.286,132.187,131.125,132.016,68585.0
2026-01-03T15:00:00Z,132.026,132.046,131.281,131.486,43825.0
2026-01-03T16:00:00Z,131.475,132.016,131.475,131.765,39222.0
2026-01-03T17:00:00Z,131.776,132.056,131.655,131.905,24010.0
2026-01-03T18:00:00Z,131.916,132.127,131.61,131.976,31657.0
2026-01-03T19:00:00Z,131.965,131.976,131.665,131.785,16535.0
2026-01-03T20:00:00Z,131.815,132.036,131.345,131.995,17029.0
2026-01-03T21:00:00Z,131.996,133.09,131.805,132.886,45064.0
2026-01-03T22:00:00Z,132.877,134.022,132.6,133.417,39857.0
2026-01-03T23:00:00Z,133.47,133.777,133.14,133.387,17758.0
2026-01-04T00:00:00Z,133.336,135.0,133.326,134.577,43212.0
2026-01-04T01:00:00Z,134.567,134.748,133.414,133.95,46984.0
2026-01-04T02:00:00Z,133.956,134.027,133.4751,133.727,28398.0
2026-01-04T03:00:00Z,133.727,134.728,133.677,134.628,47831.0
2026-01-04T04:00:00Z,134.597,134.868,134.227,134.297,44175.0
2026-01-04T05:00:00Z,134.297,134.618,134.276,134.567,26705.0
